normalized_formula,formation_energy_per_atom,mpid,e_above_hull,energy_per_atom
Fe0.5 O0.5,-1.5801542681249998,mp-1178239,0.36011849124999884,-6.35889200375
Fe0.5 O0.5,-0.7814706731249998,mp-754765,0.9465585675000003,-5.7724519275
Fe0.4 O0.6,-1.6688360437499994,mp-1078361,0.7037832130000039,-6.045493227
Fe0.33333333 O0.66666667,-1.3898040383333334,mvc-12905,0.3540244797916632,-5.977983465
Fe0.4 O0.6,-1.794480129,mp-1178392,0.11287821375000284,-6.63639822625
Fe0.5 O0.5,-1.7187491856250006,mp-715262,0.00928005499999962,-6.70973044
Fe0.42857143 O0.57142857,-1.0781473703571436,mp-716052,0.7805318982142859,-5.9626549410714285
Fe0.42857143 O0.57142857,-1.8344252132142864,mp-1277436,0.024254055357143756,-6.7189327839285715
Fe0.49295775 O0.50704225,-1.5949840035915486,mp-694910,0.7836108635915489,-5.9377832146478875
Fe0.47916667 O0.52083333,-1.7154798471093737,mp-705553,0.05065565166666808,-6.675406277083333
Fe0.33333333 O0.66666667,-1.3168624775000002,mp-1224855,0.27260280812499715,-6.059405136666666
Fe0.33333333 O0.66666667,-1.3950104112499997,mvc-5967,0.3881447118749968,-5.943863232916667
Fe0.32 O0.68,-1.2700137030499992,mp-1182503,0.30971653635000607,-5.9388377093999996
Fe0.33333333 O0.66666667,-1.3042003541666674,mp-714904,0.38106603645833026,-5.950941908333333
Fe0.33333333 O0.66666667,-1.4056381658333332,mp-1181766,0.4746390614583307,-5.857368883333333
Fe0.42857143 O0.57142857,-1.7274093782142859,mp-1182229,0.1312698903571441,-6.611916948928572
Fe0.33333333 O0.66666667,0.3905263758333331,mvc-10966,1.97999166145833,-4.352016283333334
Fe0.47727273 O0.52272727,-1.7149221001988635,mp-706875,0.05467760386363629,-6.6720253643181815
Fe0.42857143 O0.57142857,-1.7344372478571424,mp-1181340,0.1242420207142878,-6.618944818571428
Fe0.33333333 O0.66666667,-1.313889690833334,mp-25236,0.6131387681249976,-5.718869176666666
Fe0.42857143 O0.57142857,-1.7862379344642858,mp-1185276,0.07244133410714326,-6.670745505178572
Fe0.47619048 O0.52380952,-1.7145166373214278,mp-759504,0.057062612619052544,-6.670006663809524
Fe0.5 O0.5,-1.4076910478750009,mp-1245001,0.3203381927500004,-6.3986723022500005
Fe0.38461538 O0.61538462,-1.6711301282692306,mp-510746,0.16286827822115413,-6.490115432115385
Fe0.4 O0.6,-1.682000674375,mp-685153,0.22535766837500404,-6.5239187716250004
Fe0.33333333 O0.66666667,-1.2139968633333342,mvc-11999,0.71950199395833,-5.6125059508333335
Fe0.33333333 O0.66666667,-1.4057706520833335,mp-1205429,0.1836946335416636,-6.14831331125
Fe0.33333333 O0.66666667,-1.312073285833333,mp-1097003,1.1465635597916632,-5.185444385
Fe0.33333333 O0.66666667,-1.2530683370833333,mvc-13181,0.7568055920833299,-5.575202352708334
Fe0.42857143 O0.57142857,-1.7257591989285714,mp-1181570,0.13292006964285896,-6.610266769642857
Fe0.4 O0.6,-1.5599324063750004,mp-1245277,0.34742593637500363,-6.401850503625001
Fe0.42857143 O0.57142857,-1.7804133378571427,mp-715438,0.07826593071428611,-6.664920908571429
Fe0.33333333 O0.66666667,-1.3000836491666672,mvc-11993,0.25563059979166347,-6.076377345
Fe0.47761194 O0.52238806,-1.6778560422947753,mp-863766,1.29607617261194,-5.430511982537314
Fe0.46428571 O0.53571429,-1.6880578131696424,mp-756693,0.6010333196428617,-6.1300653475
Fe0.5 O0.5,-1.614542508125,mp-755189,0.11348673250000019,-6.6055237625
Fe0.4 O0.6,-1.615036549375,mp-1245019,0.2923217933750033,-6.456954646625
Fe0.4 O0.6,-1.8360544164999992,mp-565814,0.07130392625000503,-6.6779725137499995
Fe0.33333333 O0.66666667,-1.3205791494444443,mvc-12204,0.26888613618055235,-6.063121808611111
Fe0.33333333 O0.66666667,-0.7478916211111107,mvc-12063,0.8415736645138852,-5.490434280277778
Fe0.33333333 O0.66666667,-1.277498470833334,mvc-12125,0.8280854831249975,-5.503922461666666
Fe0.42857143 O0.57142857,-1.7712541585714294,mp-1181546,1.016973108928572,-5.726213730357143
Fe0.25 O0.75,-0.6347306996875002,mp-863316,0.5573682645312497,-5.67028656125
Fe0.47826087 O0.52173913,-1.717744631086957,mp-705417,0.050047661521734454,-6.6763208513043475
Fe0.42857143 O0.57142857,-1.7494531553571429,mp-1192788,0.10922611321428732,-6.633960726071429
Fe0.5 O0.5,-1.3877494758750004,mp-1245168,0.3402797647500009,-6.37873073025
Fe0.42857143 O0.57142857,-1.7500820178571428,mp-18731,0.10859725071428628,-6.634589588571429
Fe0.48387097 O0.51612903,-1.6801641548387105,mp-705551,0.07736670499999931,-6.6471029645161295
Fe0.75 O0.25,0.47486747343750046,mp-1184320,1.2720912137500004,-4.95556255375
Fe0.33333333 O0.66666667,-1.022416644166667,mvc-14925,0.5670486414583298,-5.764959303333334
Fe0.41666667 O0.58333333,-1.664197349479166,mvc-12039,0.21476486666665373,-6.53095930625
Fe0.33333333 O0.66666667,-1.4422003575000002,mp-850222,0.40494863312499696,-5.9270593116666666
Fe0.42857143 O0.57142857,-1.1107310050000012,mp-715275,0.7479482635714287,-5.9952385757142865
Fe0.4 O0.6,-1.7474844590000003,mp-705547,0.159873883750004,-6.5894025562500005
Fe0.4 O0.6,-1.6133030231250003,mp-1244869,0.2940553196250031,-6.4552211203750005
Fe0.42857143 O0.57142857,-1.8414148578571436,mp-31770,0.017264410714286527,-6.725922428571429
Fe0.42857143 O0.57142857,-1.1529788792857139,mp-611817,0.7057003892857159,-6.03748645
Fe0.42857143 O0.57142857,-1.8100883973214283,mp-1181813,0.048590871250000944,-6.694595968035714
Fe0.5 O0.5,-1.262935008125,mp-18905,0.46509423250000026,-6.2539162625
Fe0.5 O0.5,-1.640927245624999,mp-753682,0.08710199500000115,-6.6319085
Fe0.38461538 O0.61538462,-1.6459250992307692,mp-1225001,0.44556747879807723,-6.207416231538462
Fe0.48 O0.52,-1.6814660926499994,mp-764326,0.08314515580000048,-6.6426347156
Fe0.4 O0.6,-1.5806075746250001,mp-1245154,0.32675076812500325,-6.422525671875
Fe0.42857143 O0.57142857,-1.789625701250001,mp-1182249,0.9821555528571428,-5.7610312864285715
Fe0.4 O0.6,-0.5746100032499996,mvc-12005,1.3327483395000037,-5.4165281005
Sb0.33333333 O0.66666667,-1.6757682406249994,mvc-5581,0.17192083812499437,-5.882545081458333
Sb0.28571429 O0.71428571,-1.72145472375,mvc-8472,0.0374645228571433,-5.933787082857143
Sb0.33333333 O0.66666667,-1.702110645,mvc-5746,0.14557843374999369,-5.908887485833334
Sb0.33333333 O0.66666667,-1.5752898749999993,mvc-2949,0.2723992037499947,-5.782066715833333
Sb0.32911392 O0.67088608,-1.3930881964082278,mp-675957,0.44673520101264064,-5.973577931265823
Sb0.33333333 O0.66666667,-0.1339195491666659,mvc-11038,1.7137695295833284,-4.34069639
Sb0.28571429 O0.71428571,-1.673150259464285,mvc-4486,0.08576898714285797,-5.885482618571428
Sb0.33333333 O0.66666667,-1.447004257499999,mvc-6936,0.40068482124999516,-5.653781098333333
Sb0.33333333 O0.66666667,-1.845751159999999,mp-1819,0.001937918749995049,-6.052528000833333
Sb0.33333333 O0.66666667,-1.6865276833333323,mvc-14580,0.16116139541666197,-5.893304524166666
Sb0.17647059 O0.82352941,-0.1579448277941178,mp-1179595,0.9284464715808793,-4.96137867
Sb0.4 O0.6,-1.75442156175,mp-1205345,0.006487289000000729,-5.9534206769999996
Sb0.28571429 O0.71428571,-1.7589192466071435,mp-1705,0.0,-5.9712516057142855
Sb0.25 O0.75,-1.3429975459375,mp-1179567,0.19605679484375038,-5.55949654375
Sb0.17647059 O0.82352941,0.012312653676471039,mp-1203602,1.0987039530514684,-4.791121188529411
Sb0.4 O0.6,-1.7609088507500004,mp-2136,0.0,-5.959907966
Sb0.31578947 O0.68421053,-1.7865990829605263,mp-1219481,0.02838532078947953,-5.995422693684211
Sb0.33333333 O0.66666667,-1.6869188463888887,mvc-5331,0.16077023236110577,-5.893695687222222
Sb0.3 O0.7,-1.673600155375,mvc-9074,0.11195004087499427,-5.884265859
Sb0.26315789 O0.73684211,-1.4970378306578946,mp-1219538,0.12301937016447084,-5.7120017510526315
Sb0.28571429 O0.71428571,-1.6798979812499997,mp-771699,0.07902126535714338,-5.892230340357143
Sb0.28571429 O0.71428571,-1.535387700892857,mvc-13867,0.22353154571428657,-5.74772006
Sb0.33333333 O0.66666667,-1.7105484283333325,mvc-6570,0.13714065041666146,-5.917325269166667
Sb0.4 O0.6,-1.7284285907500005,mp-1202960,0.032480259999999817,-5.9274277060000005
Sb0.33333333 O0.66666667,-1.8465322024999995,mp-560098,0.0011568762499942764,-6.053309043333333
Sb0.33333333 O0.66666667,-1.3876514295833324,mp-22071,0.46003764916666157,-5.594428270416667
Sb0.3 O0.7,-1.7071353528750002,mp-1219514,0.07841484337499427,-5.9178010565
Sb0.30769231 O0.69230769,-1.5747942504807695,mvc-10366,0.22509568788460932,-5.784562524230769
Sb0.31578947 O0.68421053,-1.7919283869078944,mp-684679,0.023056016842111227,-6.000751997631579
Sb0.33333333 O0.66666667,-1.7569986875,mvc-9477,0.09069039124999367,-5.963775528333334
Sb0.2 O0.8,-0.5794680804999999,mp-1219511,0.6517753921250069,-4.8018003725
Sb0.4 O0.6,-1.5007242077500003,mvc-400,0.26018464300000055,-5.699723323
Sb0.33333333 O0.66666667,-1.531791965,mvc-9642,0.31589711374999396,-5.738568805833334
Sb0.33333333 O0.66666667,-1.4390965699999991,mvc-4245,0.40859250874999464,-5.645873410833333
Sb0.33333333 O0.66666667,-1.5674782058333332,mvc-6033,0.280210872916661,-5.774255046666667
Sb0.33333333 O0.66666667,-1.600949737083333,mvc-14911,0.246739341666661,-5.807726577916667
Sb0.33333333 O0.66666667,-1.4609199624999991,mvc-12866,0.38676911624999466,-5.667696803333333
Sb0.33333333 O0.66666667,-1.6784975538888887,mvc-9819,0.16919152486110534,-5.885274394722222
Sb0.4 O0.6,-1.7524281812500007,mp-1999,0.008480669499999927,-5.9514272965
Sb0.28571429 O0.71428571,-0.6662059958928584,mp-647533,1.0927132507142847,-4.878538355000001
Sb0.4 O0.6,-1.5907764367500001,mp-560607,0.17013241400000023,-5.789775552
Sb0.22222222 O0.77777778,-0.9240067931944446,mp-1219528,0.44404150972222833,-5.14374651
Sb0.33333333 O0.66666667,-1.84768907875,mp-230,0.0,-6.0544659195833335
Sb0.32911392 O0.67088608,-1.3946597362816453,mp-1173348,0.44516366113922334,-5.9751494711392406
Sb0.27272727 O0.72727273,-1.6268035474242422,mp-1197211,0.052164824337118,-5.840651047878787
Sb0.33333333 O0.66666667,-1.5078761095833333,mp-13866,0.3398129691666609,-5.714652950416667
Li0.42857143 Sb0.14285714 O0.42857143,-2.069982255892857,mp-756935,0.009167305642858281,-5.297520048928571
Li0.2 Sb0.2 O0.6,-2.1273666170833336,mp-4995,0.0,-5.882350386000001
Li0.66666667 Sb0.08333333 O0.25,-1.2803268793402776,mp-1102716,0.4112862676388893,-3.958441780833333
Li0.08333333 Sb0.25 O0.66666667,-1.9703407334722212,mp-29892,0.0,-5.992111179999999
Li0.2 Sb0.2 O0.6,-2.1273388920833334,mp-770932,2.772499999892375e-05,-5.882322661
Li0.5 Sb0.07142857 O0.42857143,-2.166736694940476,mp-37436,0.008751461428571083,-5.235697578571428
Li0.2 Sb0.2 O0.6,-2.0385461980833335,mp-752636,0.08882041899999926,-5.793529967
Li0.375 Sb0.125 O0.5,-2.22136552375,mp-5769,0.0,-5.57616927625
Li0.45454545 Sb0.09090909 O0.45454545,-2.205158625871213,mp-29364,0.0,-5.378062370909091
Li0.2 Sb0.2 O0.6,-2.0862381550833335,mp-756951,0.041128461999998756,-5.841221924
Li0.42857143 Sb0.14285714 O0.42857143,-1.9835570748214286,mp-756908,0.09559248671428655,-5.211094867857143
Li0.5 Sb0.07142857 O0.42857143,-2.1529510870833337,mp-27453,0.022537069285713862,-5.221911970714286
Li0.25 Sb0.25 O0.5,-1.9672544222916661,mp-755703,0.0027972743055544314,-5.59956776625
Li0.54545455 Fe0.09090909 O0.36363636,-2.0107349745454544,mp-756155,0.023674270681818044,-5.117325523181818
Li0.20833333 Fe0.29166667 O0.5,-1.9897100107638888,mp-756856,0.024974497395831463,-6.183321642916667
Li0.11764706 Fe0.29411765 O0.58823529,-1.33113630740196,mp-762529,0.4869440218529446,-5.740311930588235
Li0.25 Fe0.25 O0.5,-2.0504354522916657,mp-18782,0.020221913125001656,-6.08593135625
Li0.25 Fe0.25 O0.5,-2.044632752791666,mp-756497,0.027382808875001885,-6.0787704605
Li0.25 Fe0.25 O0.5,-1.9889059608854156,mp-850511,0.7684120748437513,-5.33774119453125
Li0.29411765 Fe0.23529412 O0.47058824,-1.9638940754901948,mp-780312,0.2585876330882346,-5.695383365588235
Li0.47368421 Fe0.10526316 O0.42105263,-1.8453301628947372,mp-780203,0.22297652858552475,-5.141026137105263
Li0.16666667 Fe0.33333333 O0.5,-1.8906849434027773,mp-1290617,0.0666685112500005,-6.2437705
Li0.3125 Fe0.1875 O0.5,-1.9418182255208327,mp-1177185,0.050106470156252136,-5.7367450465625
Li0.27272727 Fe0.18181818 O0.54545455,-1.761375731590909,mp-1305099,0.06593116038960911,-5.6407716818181814
Li0.5 Fe0.125 O0.375,-1.9724959778645825,mp-752680,0.049805571250003844,-5.2361190853125
Li0.14285714 Fe0.28571429 O0.57142857,-1.7859987388095238,mp-1178103,0.08045020614285914,-6.1237385685714285
Li0.14285714 Fe0.28571429 O0.57142857,-1.633068712380952,mp-1178108,0.34886062757143055,-5.855328147142857
Li0.2 Fe0.2 O0.6,-1.1825309910833333,mp-761189,0.4785552627000005,-5.592760251
Li0.25 Fe0.25 O0.5,-1.9931811054166664,mp-756527,0.17235489625000167,-5.933798373125
Li0.53333333 Fe0.06666667 O0.4,-1.8917843203888889,mp-763305,0.15283096391666717,-4.990562499
Li0.375 Fe0.125 O0.5,-1.8718491662500005,mp-849528,0.014767391874999092,-5.427565100625
Li0.44444444 Fe0.11111111 O0.44444444,-1.9345480621296305,mp-755232,0.07992451576389126,-5.3072869875
Li0.125 Fe0.375 O0.5,-1.8393185139583323,mp-1176726,0.7776841934374996,-5.63489768875
Li0.2 Fe0.26666667 O0.53333333,-1.9421509853333323,mp-756480,0.033933488533335776,-6.117969683333333
Li0.27272727 Fe0.18181818 O0.54545455,-1.7532063988636368,mp-753133,0.07410049311688116,-5.632602349090909
Li0.15 Fe0.25 O0.6,-1.58323725625,mp-755806,0.13941701977500198,-5.851049225500001
Li0.13636364 Fe0.31818182 O0.54545455,-1.8898257870454542,mp-752897,0.1073455842045492,-6.291136399090909
Li0.42857143 Fe0.14285714 O0.42857143,-2.015542209107142,mp-771894,0.08843180401785844,-5.472693924285714
Li0.26666667 Fe0.2 O0.53333333,-1.6035340624444445,mp-775127,0.2890284747857166,-5.524194481333334
Li0.40740741 Fe0.14814815 O0.44444444,-1.9463072732716047,mp-849463,0.12683423479166578,-5.460800798148148
Li0.07142857 Fe0.35714286 O0.57142857,-1.8178684719047615,mp-33551,0.13653479053571704,-6.428992172142857
Li0.5 Fe0.1 O0.4,-1.8419703480833334,mp-770923,0.2747870456250041,-5.06832766625
Li0.375 Fe0.125 O0.5,-1.8270882975000005,mp-1276702,0.05952826062499916,-5.382804231875
Li0.21428571 Fe0.21428571 O0.57142857,-1.7106500407142846,mp-758388,0.06784458675000415,-5.775005999999999
